,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
21,Dance of the Sugar Fairy,糖果仙子之舞,糖果仙子之舞,Dance of the Sugar Fairy,Dance of the Sugar Fairy,Танец сахарной феи,Dance of the Sugar Fairy,Dance of The Sugar Fairy,사탕 요정의 춤,Dance of the Sugar Fairy,Dance of the Sugar Fairy,Dance of the Sugar Fairy,رقصة الجنية السكر,Dance of the Sugar Fairy,Dance of the Sugar Fairy,17
22,The Swan,天鹅,天鵝,The Swan,The Swan,Лебедь,The Swan,Der Schwan,백조,The Swan,The Swan,The Swan,البجعة,The Swan,The Swan,6
23,Prelude in C Major No.1,C大调前奏曲No.1,C大調前奏曲No.1,Prelude in C Major No.1,Prelude in C Major No.1,Prelude in C Major №1,Prelude in C Major No.1,Prelude in C-Dur Nr.1,C장조 서곡 No.1,Prelude in C Major No.1,Prelude in C Major No.1,Prelude in C Major No.1,مقدمة في سلم دو الكبير No.1,Prelude in C Major No.1,Prelude in C Major No.1,27
24,Tritsch Tratsch Polka,闲聊波尔卡,閑聊波爾卡,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,트리치 트라치 폴카,Tritsch Tratsch Polka,Tritsch Tratsch Polka,Tritsch Tratsch Polka,رقصة البولكا,Tritsch Tratsch Polka,Tritsch Tratsch Polka,12
25,Cancan,康康舞曲,康康舞曲,Cancan,Cancan,Канкан,Cancan,Cancan,캉캉,Cancan,Cancan,Cancan,كان كان,Cancan,Cancan,7
26,Sonata in D Major K311,D大调奏鸣曲K311,D大調奏鳴曲K311,Sonata in D Major K311,Sonata in D Major K311,Соната ре мажор K311,Sonata in D Major K311,Sonata in D-Dur K311,소나타 D장조 K311,Sonata in D Major K311,Sonata in D Major K311,Sonata in D Major K311,سوناتا في سلم ري الكبير K311,Sonata in D Major K311,Sonata in D Major K311,28
27,Symphony No.40 in g,g小调第四十交响曲,g小調第四十交響曲,Symphony No.40 in g,Symphony No.40 in g,Симфония №40,Symphony No.40 in g,Symphonie Nr.40 in G,교향곡 40 번 G 단조,Symphony No.40 in g,Symphony No.40 in g,Symphony No.40 in g,السيمفونية No.40 في سلم صول الصغير,Symphony No.40 in g,Symphony No.40 in g,34
28,G minor Bach,g小调巴赫,g小調巴赫,G minor Bach,G minor Bach,G минор Бах,G minor Bach,G Minor Bach,G단조 바흐,G minor Bach,G minor Bach,G minor Bach,سلم صول الصغير لباخ,G minor Bach,G minor Bach,19
29,Sonatina Op.36 No.3,小奏鸣曲Op.36-3,小奏鳴曲Op.36-3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Сонатина Op.36 №3,Sonatina Op.36 No.3,Sonatina Op.36 Nr.3,소나티네 Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36 No.3,السوناتينا No.3 Op.36,Sonatina Op.36 No.3,Sonatina Op.36 No.3,21
30,Etude Op.299 No.39,车尔尼Op.299-39,車爾尼Op.299-39,Etude Op.299 No.39,Etude Op.299 No.39,Этюд Op.299 №39 ,Etude Op.299 No.39,Etude Op.299 Nr.39,에튀드 Op.299 No.39,Etude Op.299 No.39,Etude Op.299 No.39,Etude Op.299 No.39,القطعة الموسيقية No.39 Op.299,Etude Op.299 No.39,Etude Op.299 No.39,29
31,Sonata in C Major K545,C大调奏鸣曲K545,C大調奏鳴曲K545,Sonata in C Major K545,Sonata in C Major K545,Соната до мажор K545,Sonata in C Major K545,Sonata in C-Dur K545,C장조 소나타 K545,Sonata in C Major K545,Sonata in C Major K545,Sonata in C Major K545,سوناتا في سلم دو الكبيرK545,Sonata in C Major K545,Sonata in C Major K545,27
32,Csikos Post,邮递马车,郵遞馬車,Csikos Post,Csikos Post,Почтовая повозка,Csikos Post,Csikós Post,코시코스의 우편마차,Csikos Post,Csikos Post,Csikos Post,سيكوس بوست,Csikos Post,Csikos Post,10
33,Eine Kleine Nachtmusik,G大调小夜曲No.1,G大調小夜曲No.1,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Серенада соль мажор,Eine Kleine Nachtmusik,Eine kleine Nachtmusik,아이네 클라이네 나흐트무지크,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,يين كلين ناختموسيك,Eine Kleine Nachtmusik,Eine Kleine Nachtmusik,18
34,The Fountain,喷泉,噴泉,The Fountain,The Fountain,Фонтан,The Fountain,Der Brunnen,분수,The Fountain,The Fountain,The Fountain,نافورة,The Fountain,The Fountain,6
35,Etude Op.10 No.4,激流练习曲,激流練習曲,Etude Op.10 No.4,Etude Op.10 No.4,Этюд Op.10 №4,Etude Op.10 No.4,Etude Op.10 Nr.4,에튀드 Op.10 No.4,Etude Op.10 No.4,Etude Op.10 No.4,Etude Op.10 No.4,القطعة الموسيقية No.4 Op.10,Etude Op.10 No.4,Etude Op.10 No.4,27
36,Gypsy Rondo,吉普赛回旋曲,吉普賽迴旋曲,Gypsy Rondo,Gypsy Rondo,Цыганская рапсодия,Gypsy Rondo,Gypsy Rondo,집시 론도,Gypsy Rondo,Gypsy Rondo,Gypsy Rondo,الغجر روندو,Gypsy Rondo,Gypsy Rondo,11
37,Spanish Dances,西班牙舞曲,西班牙舞曲,Spanish Dances,Spanish Dances,Испанский Танцы,Spanish Dances,Spanish Dances,스페인 무곡,Spanish Dances,Spanish Dances,Spanish Dances,الرقصات الأسبانية,Spanish Dances,Spanish Dances,17
38,Sonata in E Major,E大调小前奏曲,E大調小前奏曲,Sonata in E Major,Sonata in E Major,Маленькая прелюдия,Sonata in E Major,Little Prelude in E-Dur,소나타 E 장조,Sonata in E Major,Sonata in E Major,Sonata in E Major,سوناتا في سلم مي الكبير,Sonata in E Major,Sonata in E Major,23
39,Sonata in A Major K331,A大调奏鸣曲K331,A大調奏鳴曲K311,Sonata in A Major K331,Sonata in A Major K331,Соната ля мажор K331,Sonata in A Major K331,Sonata in A Major K331,소나타 A 장조 K311,Sonata in A Major K331,Sonata in A Major K331,Sonata in A Major K331,سوناتا في سلم لا الكبير K331,Sonata in A Major K331,Sonata in A Major K331,28
40,Hungarian Dance No.5,匈牙利舞曲No.5,匈牙利舞曲No.5,Hungarian Dance No.5,Hungarian Dance No.5,Венгерский танец №5,Hungarian Dance No.5,Ungarischer Tanz Nr.5,헝가리 무곡 No.5,Hungarian Dance No.5,Hungarian Dance No.5,Hungarian Dance No.5,الرقصة الهنغارية No.5,Hungarian Dance No.5,Hungarian Dance No.5,21
41,The Entertainer,演艺人,演藝人,The Entertainer,The Entertainer,Конферансье,The Entertainer,The Entertainer,엔터테이너,The Entertainer,The Entertainer,The Entertainer,الفنان,The Entertainer,The Entertainer,6
42,Santa Lucia,桑塔露琪娅,桑塔露琪婭,Santa Lucia,Santa Lucia,Санта Лючия,Santa Lucia,Santa Lucia,산타루치아,Santa Lucia,Santa Lucia,Santa Lucia,سانتا لوسيا,Santa Lucia,Santa Lucia,11
43,Horse Racing,赛马,賽馬,Horse Racing,Horse Racing,Лошадиные скачки,Horse Racing,Horse Racing,경마,Horse Racing,Horse Racing,Horse Racing,سباق الخيل,Horse Racing,Horse Racing,10
44,American Patrol,巡逻兵进行曲,巡邏兵進行曲,American Patrol,American Patrol,Американский патруль,American Patrol,American Patrol,미국 순찰병 행진곡,American Patrol,American Patrol,American Patrol,دورية أمريكية,American Patrol,American Patrol,13
45,Sonata No.34 - Finale,海顿奏鸣曲No.34,海頓奏鳴曲No.34,Sonata No.34 - Finale,Sonata No.34 - Finale,Соната №34,Sonata No.34 - Finale,Sonata Nr.34 - Finale,소나타 No.34 - 피날레,Sonata No.34 - Finale,Sonata No.34 - Finale,Sonata No.34 - Finale,سوناتا No.34 - خاتمة,Sonata No.34 - Finale,Sonata No.34 - Finale,20
46,Polka,波尔卡,波爾卡,Polka,Polka,Полька,Polka,Polka,폴카,Polka,Polka,Polka,البولكا,Polka,Polka,7
47,Minuet No.3,小步舞曲No.3,小步舞曲No.3,Minuet No.3,Minuet No.3,Менуэт №3,Minuet No.3,Menuett Nr.3,미뉴에트 No.3,Minuet No.3,Minuet No.3,Minuet No.3,المينيويت No.3,Minuet No.3,Minuet No.3,14
48,Radetzky March,拉德斯基进行曲,拉德斯基進行曲,Radetzky March,Radetzky March,Марш Радецкого,Radetzky March,Radetzky-Marsch,라데츠키 행진곡,Radetzky March,Radetzky March,Radetzky March,مسيرة راديتزكي,Radetzky March,Radetzky March,14
49,Carmen Overture,卡门序曲,卡門序曲,Carmen Overture,Carmen Overture,Кармен Увертюра,Carmen Overture,Carmen Overture,카르멘 서곡,Carmen Overture,Carmen Overture,Carmen Overture,افتتاحية أوبرا كرمن,Carmen Overture,Carmen Overture,19
50,Invention No.13,二部创意No.13,二部創意No.13,Invention No.13,Invention No.13,Изобретение №13,Invention No.13,Invention Nr.13,인벤션 No.13,Invention No.13,Invention No.13,Invention No.13,اختراع No.13,Invention No.13,Invention No.13,12
51,Sonatina Op.36-3,小奏鸣曲Op.36-3,小奏鳴曲Op.36-3,Sonatina Op.36-3,Sonatina Op.36 No.3,Сонатина Op.36 №3,Sonatina Op.36 No.3,Sonatina Op.36 Nr.3,소나티네 Op.36 No.3,Sonatina Op.36 No.3,Sonatina Op.36-3,Sonatina Op.36-3,السوناتينا No.3 Op.36,Sonatina Op.36-3,Sonatina Op.36-3,21
52,William Tell Overture,威廉·退尔序曲,威廉·退爾序曲,William Tell Overture,William Tell Overture,Вильгельм Телль,William Tell Overture,William Tell Overture,윌리엄 텔 서곡,William Tell Overture,William Tell Overture,William Tell Overture,افتتاحية ويليام تيل,William Tell Overture,William Tell Overture,19
53,Bridal Chorus,婚礼合唱,婚禮合唱,Bridal Chorus,Bridal Chorus,Bridal Chorus,Bridal Chorus,Bridal Chorus,신부 행진곡,Bridal Chorus,Bridal Chorus,Bridal Chorus,بريدل كورس,Bridal Chorus,Bridal Chorus,10
54,Humoresque No.7,幽默曲No.7,幽默曲No.7,Humoresque No.7,Humoresque No.7,Юмореска №7,Humoresque No.7,Humoresque Nr.7,유모레스크 No.7,Humoresque No.7,Humoresque No.7,Humoresque No.7,خيومورسك No.7,Humoresque No.7,Humoresque No.7,13
55,Moonlight Sonata Mvt.3,月光奏鸣曲 第三章,月光奏鳴曲 第三章,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Лунная соната 3 часть,Moonlight Sonata Mvt.3,Moonlight Sonata 3. Satz,월광소나타 3 악장,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,سوناتا ضوء القمر Mvt.3,Moonlight Sonata Mvt.3,Moonlight Sonata Mvt.3,22
56,Minuet in G,G大调小步舞曲,G大調小步舞曲,Minuet in G,Minuet in G,Менуэт в G,Minuet in G,Menuett in G,G장조 미뉴에트,Minuet in G,Minuet in G,Minuet in G,المينيويت في سلم صول الكبير,Minuet in G,Minuet in G,27
57,Xinjiang Suite,新疆组曲,新疆組曲,Xinjiang Suite,Xinjiang Suite,Синьцзян-Люкс,Xinjiang Suite,Xinjiang Suite,신강 모음곡,Xinjiang Suite,Xinjiang Suite,Xinjiang Suite,جناح شينجيانغ,Sincan Suite,Xinjiang Suite,13
58,Fantaisie - Impromptu,幻想即兴曲,幻想即興曲,Fantaisie - Impromptu,Fantaisie - Impromptu,Экспромт - фантазия,Fantaisie - Impromptu,Fantaisie-Impromptu,즉흥환상곡,Fantaisie - Impromptu,Fantaisie - Impromptu,Fantaisie - Impromptu,فنتاسي امبرومبتيو,Fantaisie - Impromptu,Fantaisie - Impromptu,17
59,Harmonious Blacksmith,快乐的铁匠,快樂的鐵匠,Harmonious Blacksmith,Harmonious Blacksmith,Гармонический кузнец,Harmonious Blacksmith,Harmonious Blacksmith,즐거운 대장간,Harmonious Blacksmith,Harmonious Blacksmith,Harmonious Blacksmith,حداد متناغم,Harmonious Blacksmith,Harmonious Blacksmith,11
60,Liebestraum No.3,爱之梦,愛之夢,Liebestraum No.3,Liebestraum No.3,Грезы Любви,Liebestraum No.3,Liebestraum Nr.3,사랑의 꿈,Liebestraum No.3,Liebestraum No.3,Liebestraum No.3,ليبستروم No.3,Liebestraum No.3,Liebestraum No.3,13
61,Appassionata Mvt.3,热情奏鸣曲 第三章,熱情奏鳴曲 第三章,Appassionata Mvt.3,Appassionata Mvt.3,Апассионата 3 часть,Appassionata Mvt.3,Appassionata 3. Satz,열정 3 악장,Appassionata Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,أباشوناتا Mvt.3,Appassionata Mvt.3,Appassionata Mvt.3,15
62,Four Seasons - Spring,四季 - 春,四季 - 春,Four Seasons - Spring,Four Seasons - Spring,Четыре Сезона - Весна,Four Seasons - Spring,Vier Jahreszeiten - Frühling,사계 - 봄,Four Seasons - Spring,Four Seasons - Spring,Four Seasons - Spring,الفصول الأربعة - الربيع,Four Seasons - Spring,Four Seasons - Spring,23
63,La Campanella,钟,鐘,La Campanella,La Campanella,Колокольчик,La Campanella,La Campanella,라 캄파넬라,La Campanella,La Campanella,La Campanella,لا كامبانيلا,La Campanella,La Campanella,12
64,Solfeggietto,视唱曲,視唱曲,Solfeggietto,Solfeggietto,Сольфеджио,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,Solfeggietto,سولفجيطو,Solfeggietto,Solfeggietto,8
65,A La Claire Fontaine,在清澈的泉水边,在清澈的泉水邊,A La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,맑은 샘,A La Claire Fontaine,A La Claire Fontaine,A La Claire Fontaine,ا لا كلير فونتين,A La Claire Fontaine,A La Claire Fontaine,16
66,Simple Gifts,简单的礼物,簡單的禮物,Simple Gifts,Simple Gifts,Простые Подарки,Simple Gifts,Simple Gifts,단순한 선물,Simple Gifts,Simple Gifts,Simple Gifts,هدايا بسيطة,Simple Gifts,Simple Gifts,11
67,Hungarian Rhapsody No.6,匈牙利狂想曲No.6,匈牙利狂想曲No.6,Hungarian Rhapsody No.6,Hungarian Rhapsody No.6,Венгерская Рапсодия №6,Hungarian Rhapsody No.6,Ungarische Rhapsodie Nr.6,헝가리풍 랩소디 No.6,Hungarian Rhapsody No.6,Hungarian Rhapsody No.6,Hungarian Rhapsody No.6,الرابسودي الهنغاري No.6,Hungarian Rhapsody No.6,Hungarian Rhapsody No.6,23
68,Sonata Pathetique Mvt.1,悲怆奏鸣曲 第一章,悲愴奏鳴曲 第一章,Sonata Pathetique Mvt.1,Sonata pathetique Mvt.1,Патетическая соната 1 часть,Sonata pathetique Mvt.1,Sonata Pathetique 1. Satz,비창 소나타 1 악장,Sonata Pathetique Mvt.1,Sonata pathetique Mvt.1,Sonata pathetique Mvt.1,سوناتا بتتيك Mvt.1,Sonata Pathetique Mvt.1,Sonata Pathetique Mvt.1,18
63,Waltz in E minor,e小调圆舞曲,e小調圓舞曲,Waltz in E minor,Waltz in E minor,Вальс Ми минор,Waltz in E minor,Waltz in E-Moll,E단조 왈츠,Waltz in E minor,Waltz in E minor,Waltz in E minor,فالس في سلم مي الصغير,Waltz in E minor,Waltz in E minor,21
70,Clarinet Polka,单簧管波尔卡,單簧管波爾卡,Clarinet Polka,Clarinet Polka,Кларнет Полька,Clarinet Polka,Klarinetten Polka,클라리넷 폴카,Clarinet Polka,Clarinet Polka,Clarinet Polka,كلارينيت البولكا,Clarinet Polka,Clarinet Polka,16
71,Lyric Waltz,抒情圆舞曲,抒情圓舞曲,Lyric Waltz,Lyric Waltz,Лирический Вальс,Lyric Waltz,Lyric Waltz,왈츠 가사,Lyric Waltz,Lyric Waltz,Lyric Waltz,الفالس للموسيقى الكلاسيكية,Lyric Waltz,Lyric Waltz,26
72,Sonatina Op.88 No.3,小奏鸣曲Op.88-3,小奏鳴曲Op.88-3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Сонатина Op.88 №3,Sonatina Op.88 No.3,Sonatina Op.88 Nr.3,소나티네 Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,Sonatina Op.88 No.3,السوناتينا No.3 Op.88,Sonatina Op.88 No.3,Sonatina Op.88 No.3,21
73,Rondo A Capriccio Op.129,回旋随想曲Op.129,迴旋隨想曲Op.129,Rondo A Capriccio Op.129,Rondo a capriccio Op.129,Рондо-каприччио Op.129,Rondo a capriccio Op.129,Rondo a capriccio Op.129,론도 아 카프리치오 Op.129,Rondo a capriccio Op.129,Rondo a capriccio Op.129,Rondo a capriccio Op.129,روندو اى كبركسو Op.129,Rondo A Capriccio Op.129,Rondo A Capriccio Op.129,22
74,The Skater's Waltz,溜冰圆舞曲,溜冰圓舞曲,The Skater's Waltz,The Skater's Waltz,Вальс фигуристов,The Skater's Waltz,The Skater's Waltz,스케이트 왈츠,The Skater's Waltz,The Skater's Waltz,The Skater's Waltz,ذي سكترس والتز,The Skater's Waltz,The Skater's Waltz,14
75,Breeze,清风,清風,Breeze,Breeze,Бриз,Breeze,Breeze,산들바람,Breeze,Breeze,Breeze,بريز,Breeze,Breeze,4
76,Etude de Virtuosite in E,E大调练习曲,E大調練習曲,Etude de Virtuosite in E,Etude de Virtuosite in E,Etude de Virtuosite in E,Etude de Virtuosite in E,Etude de Virtuosite in E,E 장조 연습곡,Etude de Virtuosite in E,Etude de Virtuosite in E,Etude de Virtuosite in E,قطعة موسيقية في سلم مي الكبير,Etude de Virtuosite in E,Etude de Virtuosite in E,29
77,Sweet Bye and Bye,甜蜜变奏曲,甜蜜變奏曲,Sweet Bye and Bye,Sweet Bye and Bye,Сладкие свидания,Sweet Bye and Bye,Sweet Bye and Bye,달콤한 변주곡,Sweet Bye and Bye,Sweet Bye and Bye,Sweet Bye and Bye,سويت باي اند باي,Sweet Bye and Bye,Sweet Bye and Bye,16
78,Allemande,阿勒曼德舞曲,阿勒曼德舞曲,Allemande,Allemande,Аллеманда,Allemande,Allemande,알망드,Allemande,Allemande,Allemande,المند,Allemande,Allemande,5
79,Goldberg Variations,哥德堡变奏曲,哥德堡變奏曲,Goldberg Variations,Goldberg Variations,Гольдберг Вариации,Goldberg Variations,Goldberg Variationen,골드베르크 변주곡,Goldberg Variations,Goldberg Variations,Goldberg Variations,تنويعات غولدبرغ,Goldberg Variations,Goldberg Variations,15
80,Tzigane Dance,茨冈舞曲,茨岡舞曲,Tzigane Dance,Tzigane Dance,Цыганка Танец,Tzigane Dance,Tzigane Dance,치간느,Tzigane Dance,Tzigane Dance,Tzigane Dance,رقص غجري,Tzigane Dance,Tzigane Dance,8
81,Sonata in F Major Mvt.3,F大调奏鸣曲 第三章,F大調奏鳴曲 第三章,Sonata in F Major Mvt.3,Sonata in F Major Mvt.3,Соната фа мажор 3 часть,Sonata in F Major Mvt.3,Sonata in F-Dur 3. Satz,F 장조 소나타 3 악장,Sonata in F Major Mvt.3,Sonata in F Major Mvt.3,Sonata in F Major Mvt.3,سوناتا في سلم فا الكبير Mvt.3,Sonata in F Major Mvt.3,Sonata in F Major Mvt.3,29
82,Etude Op.10 No.8,练习曲Op.10 No.8,練習曲Op.10 No.8,Etude Op.10 No.8,Etude Op.10 No.8,Этюд Op.10 №8,Etude Op.10 No.8,Etude Op.10 Nr.8,에튀드 Op.10 No.8,Etude Op.10 No.8,Etude Op.10 No.8,Etude Op.10 No.8,القطعة الموسيقية No.8 Op.25,Etude Op.10 No.8,Etude Op.10 No.8,27
83,Sonata in E minor Mvt.1,e小调奏鸣曲 第一章,e小調奏鳴曲 第一章,Sonata in E minor Mvt.1,Sonata in E minor Mvt.1,Соната ми минор 1 часть,Sonata in E minor Mvt.1,Sonata in E moll 1.Satz,e 속요 소나타 1 악장,Sonata in E minor Mvt.1,Sonata in E minor Mvt.1,Sonata in E minor Mvt.1,سوناتا في سلم مي الصغير Mvt.1,Sonata in E minor Mvt.1,Sonata in E minor Mvt.1,29
84,Knecht Ruprecht,圣诞老人,聖誕老人,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,Weihnachtsmann,산타클로스,Knecht Ruprecht,Knecht Ruprecht,Knecht Ruprecht,كنشط روبرشت,Knecht Ruprecht,Knecht Ruprecht,11
85,Sonatina Op.88 No.3 Mvt.3,小奏鸣曲Op.88 No.3 第三章,小奏鳴曲Op.88 No.3 第三章,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Сонатина Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 Nr.3 Mvt.3,소나티네 Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,السوناتينا Mvt.3 No.3 Op.88,Sonatina Op.88 No.3 Mvt.3,Sonatina Op.88 No.3 Mvt.3,27
86,Etude Op.34 No.10,c小调练习曲,c小調練習曲,Etude Op.34 No.10,Etude Op.34 No.10,Этюд Op.34 №10,Etude Op.34 No.10,Etude Op.34 Nr.10,에튀드 Op.34 No.10,Etude Op.34 No.10,Etude Op.34 No.10,Etude Op.34 No.10,القطعة الموسيقية No.10 Op.34,Etude Op.34 No.10,Etude Op.34 No.10,28
87,Fugue No.16 in G minor,g小调赋格,g小調賦格,Fugue No.16 in G minor,Fugue No.16 in G minor,Фуга №16 соль минор,Fugue No.16 in G minor,Fugue Nr.16 in G moll,푸가 No.16 g 단조,Fugue No.16 in G minor,Fugue No.16 in G minor,Fugue No.16 in G minor,الفوغ No.16 في سلم صول الصغير,Fugue No.16 in G minor,Fugue No.16 in G minor,29
88,Sonata in D Major K284,D大调奏鸣曲K284,D大調奏鳴曲K284,Sonata in D Major K284,Sonata in D Major K284,Соната ре мажор K284,Sonata in D Major K284,Sonata in D-Dur K284,소나타 D 장조 K284,Sonata in D Major K284,Sonata in D Major K284,Sonata in D Major K284,سوناتا في سلم ري الكبير K284,Sonata in D Major K284,Sonata in D Major K284,28
89,Inventions No.15,三部创意No.15,三部創意No.15,Inventions No.15,Inventions No.15,Inventions №15,Inventions No.15,Inventions Nr.15,인벤션 No.15,Inventions No.15,Inventions No.15,Inventions No.15,الاختراعات No.15,Inventions No.15,Inventions No.15,16
